,State,Extent
0,AL,"[-89, -84.5, 30.0, 35.5]"
1,AK,[]
2,AZ,[]
3,AR,[]
4,CA,[]
5,CO,"[-108, -103, 38, 41]"
6,CT,[]
7,DE,[]
8,FL,[]
9,GA,[]
10,HI,[]
11,ID,[]
12,IL,[]
13,IN,[]
14,IA,[]
15,KS,[]
16,KY,[]
17,LA,[]
18,ME,[]
19,MD,[]
20,MA,[]
21,MI,[]
22,MN,[]
23,MS,[]
24,MO,[]
25,MT,[]
26,NE,[]
27,NV,[]
28,NH,[]
29,NJ,[]
30,NM,[]
31,NY,[]
32,NC,[]
33,ND,[]
34,OH,[]
35,OK,[]
36,OR,[]
37,PA,"[-82, -73, 38, 43]"
38,RI,[]
39,SC,[]
40,SD,[]
41,TN,[]
42,TX,[]
43,UT,[]
44,VT,[]
45,VA,[]
46,WA,[]
47,WV,[]
48,WI,[]
49,WY,[]
50,AS,[]
51,GU,[]
52,MP,[]
53,PR,[]
54,VI,[]
